config_id,n_layers,layers_str,alpha,total_steps,top1_agree_count,top1_pct,mean_kl,mean_js,mean_prob_gap,confident_flips,moderate_flips,ambiguous_flips,kl_at_confident,kl_at_ambiguous
L2,5,"15,18,21,24,27",0.5,85,84,98.8235,0.011687,0.002839,0.519529,0,0,1,0.003912,0.028393
L3,10,"10,12,14,16,18,20,22,24,26,27",0.5,85,78,91.7647,0.022864,0.005523,0.519529,0,0,7,0.010524,0.052611
L4,3,"18,19,20",0.5,85,84,98.8235,0.00578,0.001363,0.519529,0,0,1,0.001694,0.01743
L5,6,"12,15,18,21,24,27",0.5,85,81,95.2941,0.017849,0.00438,0.519529,0,1,3,0.00596,0.043022
L6,3,"18,21,24",0.5,85,84,98.8235,0.006026,0.001457,0.519529,0,0,1,0.00186,0.012601
L7,4,"15,18,21,24",0.5,85,84,98.8235,0.010569,0.002566,0.519529,0,0,1,0.003423,0.026078
L0,1,18,0.6,85,85,100.0,0.004266,0.001037,0.519529,0,0,0,0.001329,0.010039
L1,2,"18,24",0.6,85,84,98.8235,0.006399,0.001495,0.519529,0,0,1,0.002209,0.013032
L2,5,"15,18,21,24,27",0.6,85,84,98.8235,0.016292,0.003954,0.519529,0,0,1,0.005551,0.038772
L3,10,"10,12,14,16,18,20,22,24,26,27",0.6,85,78,91.7647,0.031529,0.007544,0.519529,0,0,7,0.015976,0.07147
L4,3,"18,19,20",0.6,85,84,98.8235,0.007979,0.001866,0.519529,0,0,1,0.002398,0.024104
L5,6,"12,15,18,21,24,27",0.6,85,79,92.9412,0.022745,0.005528,0.519529,0,1,5,0.008122,0.054418
L6,3,"18,21,24",0.6,85,84,98.8235,0.008316,0.002004,0.519529,0,0,1,0.002612,0.017774
L7,4,"15,18,21,24",0.6,85,81,95.2941,0.014413,0.003514,0.519529,0,0,4,0.004685,0.037305
L0,1,18,0.7,85,83,97.6471,0.005246,0.001276,0.519529,0,0,2,0.001595,0.01368
L1,2,"18,24",0.7,85,84,98.8235,0.008214,0.001931,0.519529,0,0,1,0.002711,0.017752
L2,5,"15,18,21,24,27",0.7,85,83,97.6471,0.02065,0.004989,0.519529,0,0,2,0.006961,0.051448
L3,10,"10,12,14,16,18,20,22,24,26,27",0.7,85,77,90.5882,0.043337,0.010346,0.519529,0,1,7,0.025014,0.091515
L4,3,"18,19,20",0.7,85,83,97.6471,0.010452,0.002416,0.519529,0,0,2,0.003259,0.031303
L5,6,"12,15,18,21,24,27",0.7,85,80,94.1176,0.029738,0.007161,0.519529,0,1,4,0.011512,0.071936
L6,3,"18,21,24",0.7,85,82,96.4706,0.010584,0.002549,0.519529,0,0,3,0.003193,0.02375
L7,4,"15,18,21,24",0.7,85,82,96.4706,0.019572,0.004787,0.519529,0,0,3,0.006677,0.0511
L0,1,18,0.85,85,82,96.4706,0.007597,0.001828,0.519529,0,0,3,0.002326,0.020057
L1,2,"18,24",0.85,85,83,97.6471,0.011453,0.002657,0.519529,0,0,2,0.004073,0.025066
L2,5,"15,18,21,24,27",0.85,85,81,95.2941,0.029553,0.007073,0.519529,0,1,3,0.011006,0.071559
L3,10,"10,12,14,16,18,20,22,24,26,27",0.85,85,76,89.4118,0.062216,0.014554,0.519529,1,1,7,0.039824,0.127441
L4,3,"18,19,20",0.85,85,83,97.6471,0.014781,0.003366,0.519529,0,0,2,0.00532,0.042605
L5,6,"12,15,18,21,24,27",0.85,85,79,92.9412,0.041274,0.009707,0.519529,1,1,4,0.01898,0.093779
L6,3,"18,21,24",0.85,85,83,97.6471,0.014468,0.003459,0.519529,0,0,2,0.004717,0.033301
L7,4,"15,18,21,24",0.85,85,82,96.4706,0.02725,0.006557,0.519529,0,0,3,0.009117,0.072573
L0,1,18,1.0,85,82,96.4706,0.009867,0.002348,0.519529,0,0,3,0.003397,0.024797
L1,2,"18,24",1.0,85,83,97.6471,0.014776,0.003419,0.519529,0,0,2,0.005619,0.033009
L2,5,"15,18,21,24,27",1.0,85,81,95.2941,0.03948,0.009301,0.519529,0,1,3,0.015243,0.093763
L3,10,"10,12,14,16,18,20,22,24,26,27",1.0,85,76,89.4118,0.091168,0.020371,0.519529,1,1,7,0.069577,0.16888
L4,3,"18,19,20",1.0,85,81,95.2941,0.019684,0.00446,0.519529,0,0,4,0.007272,0.056661
L5,6,"12,15,18,21,24,27",1.0,85,77,90.5882,0.054256,0.012488,0.519529,1,2,5,0.024231,0.124267
L6,3,"18,21,24",1.0,85,83,97.6471,0.01896,0.004532,0.519529,0,0,2,0.006635,0.043592
L7,4,"15,18,21,24",1.0,85,80,94.1176,0.035568,0.008397,0.519529,0,0,5,0.012767,0.092997
