test,prompt_id,label_a,label_b,alpha_a,alpha_b,seed_a,seed_b,n_compared,n_agree,agree_pct,divergence_step,pre_div_n,post_div_n,loop_a,loop_b
test3_dose,M5_HC1,vanilla_s42,bridge_a0.5_s42,0.0,0.5,42,42,40,0,0.0,1,0,40,0,0
test3_dose,FR_RS1,vanilla_s42,bridge_a0.05_s42,0.0,0.05,42,42,40,3,7.5,3,2,38,0,0
test3_dose,FR_RS1,vanilla_s42,bridge_a0.1_s42,0.0,0.1,42,42,40,5,12.5,3,2,38,0,0
test3_dose,FR_RS1,vanilla_s42,bridge_a0.2_s42,0.0,0.2,42,42,40,5,12.5,3,2,38,0,0
test3_dose,FR_RS1,vanilla_s42,bridge_a0.3_s42,0.0,0.3,42,42,40,5,12.5,3,2,38,0,0
test3_dose,FR_RS1,vanilla_s42,bridge_a0.5_s42,0.0,0.5,42,42,37,3,8.108108108108109,3,2,35,0,0
test3_dose,FR_DI1,vanilla_s42,bridge_a0.05_s42,0.0,0.05,42,42,40,0,0.0,1,0,40,0,0
test3_dose,FR_DI1,vanilla_s42,bridge_a0.1_s42,0.0,0.1,42,42,40,0,0.0,1,0,40,0,0
test3_dose,FR_DI1,vanilla_s42,bridge_a0.2_s42,0.0,0.2,42,42,40,1,2.5,1,0,40,0,0
test3_dose,FR_DI1,vanilla_s42,bridge_a0.3_s42,0.0,0.3,42,42,40,0,0.0,1,0,40,0,0
test3_dose,FR_DI1,vanilla_s42,bridge_a0.5_s42,0.0,0.5,42,42,40,0,0.0,1,0,40,0,0
