prompt_id,layer,head,cv,kl,entropy,p_max
factual,8,2,0.614093,0.8465511,0.551626,0.813411
factual,8,3,1.01487,1.8635758,1.228495,0.608667
factual,8,4,1.076726,1.4491295,0.766074,0.758803
factual,8,5,1.178532,2.2863154,1.020396,0.702513
factual,8,6,0.958589,1.6354098,0.545999,0.860222
factual,8,7,1.233787,1.7757792,0.540767,0.879361
factual,8,8,0.859459,1.6976244,0.557978,0.834207
factual,8,9,0.883379,1.9674734,1.160275,0.593699
factual,8,10,1.26853,2.2565029,0.666935,0.834842
factual,8,11,1.252155,2.7395415,0.898339,0.758088
factual,8,12,1.119022,2.6742246,1.137878,0.639161
factual,8,13,1.298255,1.9611969,0.751825,0.809809
factual,8,14,1.150293,2.2413588,0.993952,0.716488
factual,8,15,1.099785,2.4315326,0.96204,0.711441
factual,8,16,1.21835,3.2246542,0.994319,0.722785
factual,8,17,0.91673,1.3927029,0.931103,0.645974
factual,8,18,1.294691,1.9344662,0.761726,0.808947
factual,8,19,1.186521,1.7258399,0.540126,0.869756
factual,8,20,1.269088,2.4010754,0.955124,0.745262
factual,8,21,1.304563,1.7775507,0.567619,0.872068
factual,8,22,1.226459,3.3101611,0.949656,0.728861
factual,8,23,1.182494,2.4632056,1.039023,0.706262
factual,9,0,1.080158,3.1157022,1.185632,0.643888
factual,9,1,1.166537,1.9423364,0.934588,0.731849
factual,9,2,1.14974,2.5778856,0.888707,0.7458
factual,9,3,1.208665,2.4873199,0.952564,0.713507
factual,9,4,1.431868,2.2090406,0.797861,0.810938
factual,9,5,1.272343,1.2578801,0.437535,0.913039
factual,9,6,1.12119,2.891222,0.982804,0.704015
factual,9,7,0.959136,2.332186,1.200971,0.594872
factual,9,8,0.628409,1.4509758,1.227815,0.498448
factual,9,9,1.162877,2.6114745,1.06115,0.708002
factual,9,10,1.126827,2.7483191,0.986216,0.718677
factual,9,11,1.125323,2.317246,0.969398,0.712011
factual,9,12,1.149484,1.9853724,0.934633,0.732471
factual,9,13,1.337242,2.2171364,0.934666,0.752487
factual,9,14,0.923622,3.4103355,1.250879,0.613454
factual,9,15,1.209338,1.7391293,0.630112,0.846647
factual,9,16,1.364453,2.0452542,0.717766,0.82433
factual,9,17,1.296742,2.9463224,0.983516,0.737606
factual,9,18,1.100368,3.2027125,0.955181,0.696242
factual,9,19,0.959518,1.6126003,0.556149,0.834382
factual,9,20,0.940225,1.3269503,0.549841,0.838401
factual,9,21,1.230793,3.1338539,1.069385,0.698325
factual,9,22,1.275767,2.8752255,0.857818,0.769773
factual,9,23,1.186198,1.7911589,0.781883,0.782981
factual,10,0,1.063886,1.6488247,0.873076,0.728423
factual,10,1,1.142246,2.5830324,0.908629,0.722633
factual,10,2,1.205472,3.5287483,1.022923,0.713037
factual,10,3,1.057024,1.6472263,0.689153,0.807241
factual,10,4,0.853093,2.2142324,0.75608,0.761729
factual,10,5,1.157815,2.030395,0.899071,0.757809
factual,10,6,1.009153,3.1148813,1.04985,0.660301
factual,10,7,1.016157,1.9001621,1.154111,0.626997
factual,10,8,1.147135,3.1189928,1.04543,0.700624
factual,10,9,1.238786,2.2763004,0.79207,0.798732
factual,10,10,1.090773,3.2105701,1.172052,0.654755
factual,10,11,1.094268,1.266129,0.399151,0.915934
